@timestamp,measure_type,measure_float,brand,serial_number,establishment_id,establishment_name,establishment_city,establishment_postcode,establishment_address,establishment_latitude,establishment_longitude,room_id,room_name
2021-11-01T23:48:13Z,CO2,333,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
2021-11-01T23:48:13Z,HUM,54,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
2021-11-01T23:48:13Z,TMP,17,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
2021-11-01T23:48:13Z,VOCT,40,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
2021-11-01T23:38:13Z,CO2,344,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
2021-11-01T23:38:13Z,HUM,54,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
2021-11-01T23:38:13Z,TMP,17,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
2021-11-01T23:38:13Z,VOCT,63,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
2021-11-01T23:28:13Z,CO2,289,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
2021-11-01T23:28:13Z,HUM,55,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
2021-11-01T23:28:13Z,TMP,17,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
2021-11-01T23:28:13Z,VOCT,76,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
2021-11-01T23:18:13Z,CO2,310,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
2021-11-01T23:18:13Z,HUM,54,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
2021-11-01T23:18:13Z,TMP,17,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
2021-11-01T23:18:13Z,VOCT,67,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
2021-11-01T23:08:13Z,CO2,341,PandoSensors,B3D54FD00007B2,1,Pando2,Paris,75018,48 Rue René Clair 75018 Île-de-France France,48.8939059,2.354347,1,Room B2
